folder,repo_url
Baritone-Controller,https://github.com/cqb13/Baritone-Controller
mc-games,https://github.com/cqb13/mc-games
meteor-addon-template,https://github.com/MeteorDevelopment/meteor-addon-template
meteor-addons-addon,https://github.com/MCDxAI/meteor-addons-addon
meteor-client-webgui,https://github.com/MCDxAI/meteor-client-webgui
meteor-mcp-addon,https://github.com/MCDxAI/meteor-mcp-addon
meteor-satellite-addon,https://github.com/crazycat256/meteor-satellite-addon
meteor-translation-addon,https://github.com/Nippaku-Zanmu/meteor-translation-addon
meteor-villager-roller,https://github.com/maxsupermanhd/meteor-villager-roller
Meteorist,https://github.com/Zgoly/Meteorist
MeteorPlus,https://github.com/MeteorClientPlus/MeteorPlus
nerv-printer-addon,https://github.com/Julflips/nerv-printer-addon
Nora-Tweaks,https://github.com/noramibu/Nora-Tweaks
Trouser-Streak,https://github.com/etianl/Trouser-Streak
